Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Country	Continent	Domain	Phylum	Class	Order	Family	Genus	Species
MGYG000303700	MAG	678213	2	466332	47.78	63.68	0	0	99.74	99.56	20	NA	NA	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus sp004136275
MGYG000303701	MAG	1500176	18	112881	42.36	87.83	0	0	0	0	20	NA	NA	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	KA00274	KA00274 sp902373515
MGYG000303702	MAG	1210062	44	48790	26.37	94.84	0.55	0	0	0	9	NA	NA	Bacteria	Bacillota	Bacilli	Staphylococcales	Gemellaceae	Gemella	Gemella asaccharolytica
MGYG000303703	MAG	1706016	27	89653	44.6	93.74	1.06	0	0	0	20	NA	NA	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	Mageeibacillus	Mageeibacillus indolicus
MGYG000303704	MAG	703182	7	111709	47.82	63.68	0	0	99.74	99.56	20	China	Asia	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus sp004136275
MGYG000303705	MAG	2542045	112	34925	48	97.92	0.36	0	0	0	19	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303706	MAG	1449687	185	10153	34.83	85.2	0.72	0	0	0	7	NA	NA	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus harei
MGYG000303707	MAG	1874692	90	28768	37.09	99.03	0.09	0	0	0	18	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
MGYG000303708	MAG	1480380	12	169949	42.24	87.59	0	0	0	0	20	China	Asia	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	KA00274	KA00274 sp902373515
MGYG000303709	MAG	694644	57	15063	47.93	61.97	0.85	0	99.74	90.63	20	NA	NA	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus sp004136275
MGYG000303710	MAG	1365093	18	159920	49.93	100	0	94.12	31.31	99.45	20	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000303711	MAG	1366621	86	34885	41.95	87.23	1.6	0	0	0	18	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000303712	MAG	1589541	23	117641	42.65	99.09	0.15	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium piotii
MGYG000303713	MAG	1644162	32	90198	41.71	100	0	0	99.61	99.21	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303714	MAG	1685172	24	169641	46.56	98.19	0	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	Berryella sp001552935
MGYG000303715	MAG	1334841	68	29644	28.24	98.23	0	0	0	0	18	China	Asia	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia vaginalis
MGYG000303716	MAG	1369418	35	101822	48.69	100	0	0	0	0	19	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea massiliensis
MGYG000303717	MAG	1658968	56	66171	45.44	97.79	0	0	99.67	66.94	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303718	MAG	1358907	49	54731	32.57	94.39	0.44	0	0	95.52	17	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
MGYG000303719	MAG	1462957	10	266156	42.62	100	0	93.28	99.67	99.49	20	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
MGYG000303720	MAG	1719298	284	6872	38.44	68.82	0.35	0	0	0	8	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
