Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000303700	MAG	678213	2	466332	47.78	63.68	0.0	0.00	99.74	99.56	20	CAMPLK01	MGYG000303700	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanoperiomorbaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp004136275	SAMEA111346158	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303700/genomes1/MGYG000303700.gff.gz
MGYG000303701	MAG	1500176	18	112881	42.36	87.83	0.0	0.00	0.00	0.00	20	CAMPLL01	MGYG000303918	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp902373515	SAMEA111346148	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303918/genomes1/MGYG000303701.gff.gz
MGYG000303702	MAG	1210062	44	48790	26.37	94.84	0.55	0.00	0.00	0.00	9	CAMPLM01	MGYG000303789	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella asaccharolytica	SAMEA111346137	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303789/genomes1/MGYG000303702.gff.gz
MGYG000303703	MAG	1706016	27	89653	44.6	93.74	1.06	0.00	0.00	0.00	20	CAMPLN01	MGYG000304079	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__Mageeibacillus;s__Mageeibacillus indolicus	SAMEA111346154	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304079/genomes1/MGYG000303703.gff.gz
MGYG000303704	MAG	703182	7	111709	47.82	63.68	0.0	0.00	99.74	99.56	20	CAMPLO01	MGYG000303851	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanoperiomorbaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp004136275	SAMEA111346175	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303851/genomes1/MGYG000303704.gff.gz
MGYG000303705	MAG	2542045	112	34925	48.0	97.92	0.36	0.00	0.00	0.00	19	CAMPLP01	MGYG000303847	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SAMEA111346151	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303847/genomes1/MGYG000303705.gff.gz
MGYG000303706	MAG	1449687	185	10153	34.83	85.2	0.72	0.00	0.00	0.00	7	CAMPLQ01	MGYG000303882	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A	SAMEA111346135	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303882/genomes1/MGYG000303706.gff.gz
MGYG000303707	MAG	1874692	90	28768	37.09	99.03	0.09	0.00	0.00	0.00	18	CAMPLR01	MGYG000303884	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	SAMEA111346186	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303884/genomes1/MGYG000303707.gff.gz
MGYG000303708	MAG	1480380	12	169949	42.24	87.59	0.0	0.00	0.00	0.00	20	CAMPLS01	MGYG000303918	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp902373515	SAMEA111346198	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303918/genomes1/MGYG000303708.gff.gz
MGYG000303709	MAG	694644	57	15063	47.93	61.97	0.85	0.00	99.74	90.63	20	CAMPLT01	MGYG000303709	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanoperiomorbaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp004136275	SAMEA111346147	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303709/genomes1/MGYG000303709.gff.gz
MGYG000303710	MAG	1365093	18	159920	49.93	100	0.0	94.12	31.31	99.45	20	CAMPLU01	MGYG000304014	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__	SAMEA111346178	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304014/genomes1/MGYG000303710.gff.gz
MGYG000303711	MAG	1366621	86	34885	41.95	87.23	1.6	0.00	0.00	0.00	18	CAMPLV01	MGYG000303825	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	SAMEA111346155	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303825/genomes1/MGYG000303711.gff.gz
